Subject        Act	mean	tBodyAcc-mean()-X	tBodyAcc-mean()-Y	tBodyAcc-mean()-Z	tBodyAcc-std()-X	tBodyAcc-std()-Y	tBodyAcc-std()-Z	tBodyAcc-mad()-X	tBodyAcc-mad()-Y	tBodyAcc-mad()-Z	tBodyAcc-max()-X	tBodyAcc-max()-Y	tBodyAcc-max()-Z	tBodyAcc-min()-X	tBodyAcc-min()-Y	tBodyAcc-min()-Z	tBodyAcc-sma()	tBodyAcc-energy()-X	tBodyAcc-energy()-Y	tBodyAcc-energy()-Z	tBodyAcc-iqr()-X	tBodyAcc-iqr()-Y	tBodyAcc-iqr()-Z	tBodyAcc-entropy()-X	tBodyAcc-entropy()-Y	tBodyAcc-entropy()-Z	tBodyAcc-arCoeff()-X,1	tBodyAcc-arCoeff()-X,2	tBodyAcc-arCoeff()-X,3	tBodyAcc-arCoeff()-X,4	tBodyAcc-arCoeff()-Y,1	tBodyAcc-arCoeff()-Y,2	tBodyAcc-arCoeff()-Y,3	tBodyAcc-arCoeff()-Y,4	tBodyAcc-arCoeff()-Z,1	tBodyAcc-arCoeff()-Z,2	tBodyAcc-arCoeff()-Z,3	tBodyAcc-arCoeff()-Z,4	tBodyAcc-correlation()-X,Y	tBodyAcc-correlation()-X,Z	tBodyAcc-correlation()-Y,Z	tGravityAcc-mean()-X	tGravityAcc-mean()-Y	tGravityAcc-mean()-Z	tGravityAcc-std()-X	tGravityAcc-std()-Y	tGravityAcc-std()-Z	tGravityAcc-mad()-X	tGravityAcc-mad()-Y	tGravityAcc-mad()-Z	tGravityAcc-max()-X	tGravityAcc-max()-Y	tGravityAcc-max()-Z	tGravityAcc-min()-X	tGravityAcc-min()-Y	tGravityAcc-min()-Z	tGravityAcc-sma()	tGravityAcc-energy()-X	tGravityAcc-energy()-Y	tGravityAcc-energy()-Z	tGravityAcc-iqr()-X	tGravityAcc-iqr()-Y	tGravityAcc-iqr()-Z	tGravityAcc-entropy()-X	tGravityAcc-entropy()-Y	tGravityAcc-entropy()-Z	tGravityAcc-arCoeff()-X,1	tGravityAcc-arCoeff()-X,2	tGravityAcc-arCoeff()-X,3	tGravityAcc-arCoeff()-X,4	tGravityAcc-arCoeff()-Y,1	tGravityAcc-arCoeff()-Y,2	tGravityAcc-arCoeff()-Y,3	tGravityAcc-arCoeff()-Y,4	tGravityAcc-arCoeff()-Z,1	tGravityAcc-arCoeff()-Z,2	tGravityAcc-arCoeff()-Z,3	tGravityAcc-arCoeff()-Z,4	tGravityAcc-correlation()-X,Y	tGravityAcc-correlation()-X,Z	tGravityAcc-correlation()-Y,Z	tBodyAccJerk-mean()-X	tBodyAccJerk-mean()-Y	tBodyAccJerk-mean()-Z	tBodyAccJerk-std()-X	tBodyAccJerk-std()-Y	tBodyAccJerk-std()-Z	tBodyAccJerk-mad()-X	tBodyAccJerk-mad()-Y	tBodyAccJerk-mad()-Z	tBodyAccJerk-max()-X	tBodyAccJerk-max()-Y	tBodyAccJerk-max()-Z	tBodyAccJerk-min()-X	tBodyAccJerk-min()-Y	tBodyAccJerk-min()-Z	tBodyAccJerk-sma()	tBodyAccJerk-energy()-X	tBodyAccJerk-energy()-Y	tBodyAccJerk-energy()-Z	tBodyAccJerk-iqr()-X	
1	1	LAYING	1	0.28858451	-2.03E-02	-1.33E-01	-9.95E-01	-0.98311061	-0.91352645	-0.99511208	-0.98318457	-0.92352702	-0.93472378	-0.56737807	-0.74441253	0.85294738	0.68584458	0.81426278	-0.96552279	-0.99994465	-0.99986303	-0.9946122	-0.99423081	-0.98761392	-0.94321999	-0.40774707	-0.67933751	-0.60212187	0.92929351	-0.85301114	0.35990976	-0.058526382	0.25689154	-0.22484763	0.26410572	-9.52E-02	0.27885143	-0.46508457	0.49193596	-0.19088356	3.76E-01	0.43512919	0.66079033	0.96339614	-0.14083968	1.15E-01	-0.9852497	-0.98170843	-0.87762497	-0.9850014	-0.98441622	-0.89467735	0.89205451	-0.16126549	0.12465977	0.97743631	-1.23E-01	0.056482734	-0.37542596	0.89946864	-0.97090521	-0.97551037	-0.9843254	-0.98884915	-0.91774264	-1	-1	0.11380614	-0.590425	0.5911463	-0.59177346	0.59246928	-0.74544878	0.72086167	-0.71237239	0.71130003	-0.99511159	0.99567491	-0.99566759	0.99165268	0.57022164	0.43902735	0.98691312	0.077996345	0.005000803	-6.78E-02	-0.99351906	-0.98835999	-0.99357497	-0.99448763	-9.86E-01	-0.9928183	-0.9851801	-0.99199423	-0.9931189	0.98983471	0.99195686	0.9905192	-0.99352201	-0.99993487	-0.99982045	-0.9998785	-0.99436404
2	1	SITTING	2	0.27841883	-1.64E-02	-1.24E-01	-9.98E-01	-0.97530022	-0.96032199	-0.99880719	-0.97491437	-0.95768622	-0.94306751	-0.55785126	-0.81840869	0.84930787	0.68584458	0.82263681	-0.98193011	-0.9999913	-0.99978838	-0.9984054	-0.99915036	-0.9778655	-0.94822478	-0.71489166	-0.50093	-0.57097906	0.61162716	-0.32954862	0.28421321	0.28459454	0.11570542	-0.090962529	0.29431041	-2.81E-01	0.08598843	-0.022152694	-0.016656535	-0.2206435	-1.34E-02	-0.07269189	0.57938169	0.96656113	-0.14155127	1.09E-01	-0.9974113	-0.98944741	-0.93163868	-0.9978836	-0.98961366	-0.9332404	0.89206031	-0.16134256	0.12258573	0.98452014	-1.15E-01	0.10276411	-0.38342955	0.9078289	-0.97058275	-0.97850045	-0.9991884	-0.99002851	-0.9416854	-1	-1	-0.21049361	-0.41005552	0.41385634	-0.41756716	0.42132499	-0.19635929	0.12534464	-0.10556772	0.10909013	-0.83388211	0.8342711	-0.83418438	0.8304639	-0.83128389	-0.86571108	0.97438562	0.074006709	0.005771104	2.94E-02	-0.99554814	-0.98106363	-0.9918457	-0.99563201	-9.79E-01	-0.9912766	-0.99454467	-0.97906823	-0.9922574	0.9925771	0.99180836	0.9885391	-0.99139374	-0.99995974	-0.99963956	-0.9998454	-0.99386273
3	1	STANDING	3	0.27965306	-1.95E-02	-1.13E-01	-9.95E-01	-0.96718701	-0.97894396	-0.99651994	-0.96366837	-0.97746859	-0.93869155	-0.55785126	-0.81840869	0.84360895	0.68240094	0.83934417	-0.98347777	-0.99996908	-0.99965987	-0.9994695	-0.99713008	-0.96480989	-0.974675	-0.59223514	-0.48582066	-0.57097906	0.27302484	-0.086308698	0.33720151	-0.1647387	0.017150129	-0.074506933	0.34225631	-3.33E-01	0.23928053	-0.13620359	0.17386318	-0.29949278	-1.25E-01	-0.18110479	0.60890014	0.9668781	-0.14200984	1.02E-01	-0.999574	-0.99286582	-0.99291723	-0.9996353	-0.99260493	-0.99293426	0.89240056	-0.16371122	0.094565843	0.9867701	-1.15E-01	0.10276411	-0.4016016	0.90866783	-0.97036812	-0.98167231	-0.999679	-0.9921044	-0.99261864	-1	-1	-0.92677626	0.002234132	0.02748069	-0.05672816	0.085533243	-0.32902304	0.27050025	-0.25449019	0.25759764	-0.70503919	0.714392	-0.72329885	0.72875542	-0.18108991	0.33793587	0.64341699	0.073635962	0.003104037	-9.05E-03	-0.99074281	-0.98095561	-0.98968664	-0.99093291	-9.79E-01	-0.9872381	-0.98707696	-0.97906823	-0.9922574	0.9883902	0.99180836	0.9885391	-0.98814767	-0.99989423	-0.99963638	-0.999795	-0.98784568
4	1	WALKING	4	0.27917394	-2.62E-02	-1.23E-01	-9.96E-01	-0.9834027	-0.9906751	-0.99709947	-0.98274984	-0.9893025	-0.93869155	-0.57615889	-0.82971145	0.84360895	0.68240094	0.83786929	-0.98609328	-0.99997554	-0.999736	-0.9995037	-0.99718043	-0.98379912	-0.98600679	-0.62744626	-0.85093004	-0.91187157	0.061435711	0.074839555	0.19820403	-0.26430733	0.07254524	-0.15531983	0.32315395	-1.71E-01	0.29493839	-0.30608099	0.48214783	-0.47012871	-3.06E-01	-0.36265405	0.50745887	0.96761519	-0.14397645	9.99E-02	-0.9966456	-0.98139281	-0.97847643	-0.9964569	-0.98096181	-0.97845576	0.89381715	-0.16371122	0.093424674	0.98682105	-1.21E-01	0.095752648	-0.40027809	0.91062071	-0.96939971	-0.98241965	-0.9959764	-0.98066338	-0.97977867	-1	-1	-0.59610084	-0.064934877	0.0754272	-0.08582296	0.096207707	-0.29503597	0.22830973	-0.20628122	0.20480094	-0.38541023	0.38637272	-0.38711988	0.38526306	-0.99130869	-0.96882139	0.98425552	0.077320614	0.020057642	-9.86E-03	-0.99269737	-0.98755275	-0.99349757	-0.99426599	-9.86E-01	-0.9914832	-0.98707696	-0.99178619	-0.9897689	0.9883902	0.99254378	0.9932176	-0.99286835	-0.99992364	-0.99980288	-0.9998829	-0.99467795
5	1	WALKING_DOWNSTAIRS	5	0.27662877	-1.66E-02	-1.15E-01	-9.98E-01	-0.98081727	-0.99048163	-0.99832113	-0.97967187	-0.99044113	-0.94246912	-0.56917385	-0.82470529	0.84909512	0.68324978	0.83786929	-0.99265311	-0.99999061	-0.99985588	-0.9997566	-0.99800428	-0.98123186	-0.99132465	-0.78655253	-0.55947687	-0.76143384	0.31327553	-0.13120773	0.19116085	0.086903625	0.25761535	-0.27250466	0.43472776	-3.15E-01	0.43974437	-0.26906895	0.17941419	-0.088951954	-1.56E-01	-0.18976271	0.59921296	0.9682244	-0.14875022	9.45E-02	-0.9984293	-0.98809824	-0.97874493	-0.9984112	-0.9886539	-0.97893551	0.89381715	-0.1667862	0.091682389	0.98743352	-1.22E-01	0.094059354	-0.40047652	0.91223466	-0.96705115	-0.98436258	-0.9983182	-0.99061132	-0.98041247	-1	-1	-0.6165782	-0.25726681	0.26891819	-0.2806651	0.29261602	-0.16669311	0.089942719	-0.066326701	0.067131104	-0.23747445	0.23926797	-0.24101211	0.24056851	-0.40833042	-0.18484007	0.96479651	0.073444363	0.019121574	1.68E-02	-0.99642017	-0.98835871	-0.9924549	-0.99659735	-9.87E-01	-0.9906864	-0.99699333	-0.99181776	-0.9897689	0.99430322	0.99254378	0.9856091	-0.99383198	-0.99996916	-0.99982033	-0.9998599	-0.99588783
6	1	WALKING_UPSTAIRS	6	0.27719877	-1.01E-02	-1.05E-01	-9.97E-01	-0.99048681	-0.99542003	-0.9976274	-0.99021769	-0.9955489	-0.94246912	-0.56568389	-0.82276614	0.84909512	0.69558572	0.84592156	-0.9939277	-0.99998547	-0.99985699	-0.9999174	-0.99758385	-0.99184681	-0.99541357	-0.75186908	-0.4547725	-0.55088154	0.39005211	-0.18227238	0.1587515	0.18731256	0.25995104	-0.24322958	0.42173615	-4.18E-01	0.55846137	-0.21834364	0.16513807	0.080920164	-2.10E-01	-0.15106365	0.18042444	0.9679482	-0.14820997	9.19E-02	-0.9989793	-0.98675389	-0.99730641	-0.999054	-0.98658395	-0.99741883	0.89368344	-0.16697042	0.083347121	0.98772183	-1.22E-01	0.094059354	-0.4093585	0.91150257	-0.9673206	-0.98527538	-0.9993483	-0.98656477	-0.99772789	-1	-1	-1	-0.30222484	0.37903209	-0.45722246	0.5367984	-0.1981248	0.12718522	-0.10755395	0.11136448	-0.15790588	0.17537477	-0.19276798	0.20796474	-0.56395092	0.4664707	0.44309711	0.077932436	0.018684046	9.34E-03	-0.9948136	-0.98871446	-0.99226635	-0.99524185	-9.87E-01	-0.9910667	-0.99410538	-0.99181776	-0.9926493	0.99430322	0.99334631	0.9856091	-0.99347303	-0.9999512	-0.99982782	-0.999856	-0.99528094
7	2	LAYING	7	0.27945388	-1.96E-02	-1.10E-01	-9.97E-01	-0.96718593	-0.98311783	-0.99700268	-0.96609671	-0.98311627	-0.94098663	-0.56568389	-0.81718902	0.85104022	0.67434716	0.83359122	-0.98683671	-0.99998182	-0.99965834	-0.9996339	-0.99686258	-0.97240236	-0.98286383	-0.63718496	-0.51475133	-0.53655276	0.36046018	-0.23333509	0.22645671	0.069525313	0.06429747	-0.076438542	0.13805729	-3.68E-02	0.23140082	-0.11457728	0.31920436	-0.48776863	-9.59E-02	-0.13572875	0.61084543	0.9679295	-0.14428214	9.31E-02	-0.9993325	-0.98857468	-0.99201595	-0.9993531	-0.9889216	-0.99167006	0.89336965	-0.16557052	0.085205725	0.98772183	-1.20E-01	0.094085133	-0.41676117	0.91145298	-0.96926606	-0.98484817	-0.9994188	-0.98991228	-0.9907534	-1	-1	-1	-0.30141075	0.40146416	-0.50287889	0.60560442	-0.42266954	0.37392632	-0.36216875	0.36714294	-0.12779264	0.13769216	-0.14692682	0.15347557	0.72642714	0.93933811	0.87910178	0.082170765	-0.01701467	-1.58E-02	-0.99520561	-0.98483079	-0.98842507	-0.99581334	-9.83E-01	-0.9890392	-0.99410538	-0.98750149	-0.9815525	0.99388606	0.99080775	0.9890016	-0.99175981	-0.99995571	-0.99973724	-0.9997625	-0.99596033
8	2	SITTING	8	0.27743247	-3.05E-02	-1.25E-01	-9.97E-01	-0.96672843	-0.98158533	-0.99648525	-0.96631315	-0.98298176	-0.94098663	-0.57263824	-0.81718902	0.85032778	0.67041013	0.83238324	-0.97685142	-0.99997978	-0.99934107	-0.9991636	-0.99576798	-0.97584687	-0.98682857	-0.63323942	-0.74387744	-0.82240812	0.36306395	-0.3007191	0.34686658	-0.063693617	0.14412423	-0.13234852	0.083232381	4.16E-02	0.13719176	-0.09228985	0.37236909	-0.72091282	-1.62E-01	-0.017120153	0.56142107	0.96849148	-0.14670536	9.17E-02	-0.9981183	-0.97295996	-0.97656878	-0.9980319	-0.9731642	-0.97740917	0.89420478	-0.16557052	0.085205725	0.98792586	-1.29E-01	0.085898255	-0.41293833	0.91294266	-0.96803308	-0.98531929	-0.9977317	-0.97571945	-0.98161313	-1	-1	-0.59008523	-0.36842726	0.39013017	-0.41156951	0.43283287	-0.47061829	0.42100668	-0.40506317	0.40461434	-0.14279819	0.13917263	-0.13543478	0.12964878	-0.93336652	-0.8592257	0.98218482	0.072364228	0.008747856	-4.47E-03	-0.99527281	-0.98129122	-0.99033964	-0.99489867	-9.78E-01	-0.9921423	-0.99592693	-0.98750149	-0.9815525	0.99388606	0.99065318	0.9890016	-0.99126851	-0.99995658	-0.99964607	-0.9998111	-0.9934888
9	2	STANDING	9	0.27729342	-2.18E-02	-1.21E-01	-9.97E-01	-0.96124532	-0.98367156	-0.99759576	-0.95723623	-0.98437928	-0.94059758	-0.56417505	-0.82352693	0.85032778	0.67041013	0.83238324	-0.98329507	-0.99998544	-0.99952783	-0.999426	-0.99735109	-0.95721193	-0.98584064	-0.68311724	-0.52481198	-0.75852412	0.35826771	-0.25330862	0.26692921	-0.12425026	0.21532392	-0.18336174	0.17174482	-6.90E-02	0.24183069	-0.19441947	0.21675798	-0.33802646	-1.65E-01	-0.033767493	0.72423433	0.96848115	-0.15437401	8.51E-02	-0.9977894	-0.9756451	-0.9689613	-0.9977448	-0.97608723	-0.96856979	0.89420478	-0.1678811	0.084473659	0.98775397	-1.30E-01	0.083207756	-0.40974176	0.91291536	-0.96412344	-0.98745868	-0.9972706	-0.97885999	-0.96899895	-1	-1	-0.45636035	-0.28790289	0.29184819	-0.29541259	0.29871189	-0.32868686	0.26304838	-0.23988118	0.2363587	-0.50532381	0.50364318	-0.50164876	0.49676454	0.34379322	0.55275926	0.9683003	0.075284365	0.030762704	1.12E-02	-0.99647892	-0.98005127	-0.99666607	-0.99619813	-9.78E-01	-0.9972827	-0.99624001	-0.98811393	-0.9909583	0.99672283	0.9791987	0.9888335	-0.99345335	-0.99996979	-0.99960918	-0.999945	-0.99420198
10	2	WALKING	10	0.28058569	-9.96E-03	-1.06E-01	-9.95E-01	-0.9727584	-0.98624387	-0.99540462	-0.97366322	-0.98564195	-0.94002751	-0.55459369	-0.81585037	0.84544241	0.68475694	0.83845531	-0.98654074	-0.99996282	-0.99966171	-0.9997179	-0.99616279	-0.97980923	-0.98281072	-0.55072132	-0.29455303	-0.47971077	0.1928626	-0.021212436	0.037914663	0.19054017	0.039721557	0.054283163	0.037268005	8.16E-02	0.17233993	0.035995078	-0.18492998	0.35115631	-1.76E-01	-0.44765092	0.39186658	0.96841804	-0.15630201	8.09E-02	-0.9973622	-0.99050162	-0.99674235	-0.9974103	-0.990634	-0.99774651	0.89477777	-0.17596367	0.073488197	0.98775397	-1.30E-01	0.083047547	-0.41596709	0.91274816	-0.96313738	-0.98880075	-0.9975253	-0.99127719	-0.99926747	-1	-1	-1	-0.33139263	0.36132765	-0.39175904	0.4227731	-0.36230751	0.31604952	-0.31072118	0.32333038	-0.46695203	0.48421297	-0.50109017	0.51492917	0.64495215	-0.029064172	-0.53613893	0.076369318	0.012518906	3.08E-03	-0.99115561	-0.9692003	-0.98861504	-0.99176783	-9.66E-01	-0.9897454	-0.98597618	-0.97600716	-0.9849359	0.99150933	0.9791987	0.9872201	-0.98558942	-0.99990077	-0.99923294	-0.9997678	-0.99033847
